Friday, December 11, 2015;In the Heart of the Sea;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, December 18, 2015;Alvin and the Chipmunks: The Road Chip;Sisters;Star Wars: The Force Awakens;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, December 25, 2015;Concussion;Daddy's Home;Joy;Point Break;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, January 8, 2016;🎥 The Forest;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, January 15, 2016;🎥 13 Hours: The Secret Soldiers of Benghazi;🎥 Norm of the North;🎥 Ride Along 2;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, January 22, 2016;🎥 Dirty Grandpa;🎥 The 5th Wave;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, January 29, 2016;🎥 Jane Got a Gun;🎥 Kung Fu Panda 3;🎥 The Finest Hours;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, February 5, 2016;🎥 Hail, Caesar!;🎥 Pride and Prejudice and Zombies;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, February 12, 2016;🎥 Deadpool;🎥 How to Be Single;🎥 Zoolander 2;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, February 19, 2016;🎥 Race;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, February 26, 2016;Kidnap;🎥 Eddie the Eagle;🎥 Gods of Egypt;🎥 The Witch;🎥 Triple 9;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, March 4, 2016;🎥 London Has Fallen;🎥 The Other Side of the Door;🎥 Whiskey Tango Foxtrot;🎥 Zootopia;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, March 11, 2016;🎥 10 Cloverfield Lane;🎥 The Brothers Grimsby;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, March 18, 2016;🎥 Midnight Special;🎥 The Divergent Series: Allegiant;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, March 25, 2016;🎥 Batman v Superman: Dawn of Justice;🎥 My Big Fat Greek Wedding 2;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, April 1, 2016;🎥 Amityville: The Awakening;🎥 Collide;🎥 Everybody Wants Some;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, April 8, 2016;🎥 Hardcore Henry;🎥 The Boss;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, April 15, 2016;🎥 Barbershop: The Next Cut;🎥 Criminal;🎥 The Jungle Book;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, April 22, 2016;🎥 Elvis & Nixon;🎥 The Huntsman Winter's War;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, April 29, 2016;🎥 Keanu;🎥 Ratchet and Clank;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, May 6, 2016;🎥 Captain America: Civil War;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, May 13, 2016;🎥 Free State of Jones;🎥 Money Monster;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, May 20, 2016;🎥 Angry Birds;🎥 Neighbors 2: Sorority Rising;🎥 The Nice Guys;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, May 27, 2016;🎥 Alice Through the Looking Glass;🎥 X-Men: Apocalypse;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
